occupation_code	occupation_name
474011	Construction and Building Inspectors	
474021	Elevator Installers and Repairers	
474031	Fence Erectors	
474041	Hazardous Materials Removal Workers	
474051	Highway Maintenance Workers	
474061	Rail-Track Laying and Maintenance Equipment Operators	
474071	Septic Tank Servicers and Sewer Pipe Cleaners	
474090	Miscellaneous Construction and Related Workers	
474091	Segmental Pavers	
474099	Construction and Related Workers, All Other	
475000	Extraction Workers	
475010	Derrick, Rotary Drill, and Service Unit Operators, Oil, Gas, and Mining	
475011	Derrick Operators, Oil and Gas	
475012	Rotary Drill Operators, Oil and Gas	
475013	Service Unit Operators, Oil, Gas, and Mining	
475021	Earth Drillers, Except Oil and Gas	
475031	Explosives Workers, Ordnance Handling Experts, and Blasters	
475040	Mining Machine Operators	
475041	Continuous Mining Machine Operators	
475042	Mine Cutting and Channeling Machine Operators	
475049	Mining Machine Operators, All Other	
475051	Rock Splitters, Quarry	
475061	Roof Bolters, Mining	
475071	Roustabouts, Oil and Gas	
475081	Helpers--Extraction Workers	
475099	Extraction Workers, All Other	
490000	Installation, Maintenance, and Repair Occupations	
491011	First-Line Supervisors of Mechanics, Installers, and Repairers	
492000	Electrical and Electronic Equipment Mechanics, Installers, and Repairers	
492011	Computer, Automated Teller, and Office Machine Repairers	
492020	Radio and Telecommunications Equipment Installers and Repairers	
492021	Radio, Cellular, and Tower Equipment Installers and Repairers	
492022	Telecommunications Equipment Installers and Repairers, Except Line Installers	
492090	Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers	
492091	Avionics Technicians	
492092	Electric Motor, Power Tool, and Related Repairers	
492093	Electrical and Electronics Installers and Repairers, Transportation Equipment	
492094	Electrical and Electronics Repairers, Commercial and Industrial Equipment	
492095	Electrical and Electronics Repairers, Powerhouse, Substation, and Relay	
492096	Electronic Equipment Installers and Repairers, Motor Vehicles	
492097	Electronic Home Entertainment Equipment Installers and Repairers	
492098	Security and Fire Alarm Systems Installers	
493000	Vehicle and Mobile Equipment Mechanics, Installers, and Repairers	
493011	Aircraft Mechanics and Service Technicians	
493020	Automotive Technicians and Repairers	
493021	Automotive Body and Related Repairers	
493022	Automotive Glass Installers and Repairers	
493023	Automotive Service Technicians and Mechanics	
493031	Bus and Truck Mechanics and Diesel Engine Specialists	
493040	Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics	
493041	Farm Equipment Mechanics and Service Technicians	
493042	Mobile Heavy Equipment Mechanics, Except Engines	
493043	Rail Car Repairers	
493050	Small Engine Mechanics	
493051	Motorboat Mechanics and Service Technicians	
493052	Motorcycle Mechanics	
493053	Outdoor Power Equipment and Other Small Engine Mechanics	
493090	Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers	
493091	Bicycle Repairers	
493092	Recreational Vehicle Service Technicians	
493093	Tire Repairers and Changers	
499000	Other Installation, Maintenance, and Repair Occupations	
499010	Control and Valve Installers and Repairers	
499011	Mechanical Door Repairers	
499012	Control and Valve Installers and Repairers, Except Mechanical Door	
499021	Heating, Air Conditioning, and Refrigeration Mechanics and Installers	
499031	Home Appliance Repairers	
499040	Industrial Machinery Installation, Repair, and Maintenance Workers	
499041	Industrial Machinery Mechanics	
499043	Maintenance Workers, Machinery	
499044	Millwrights	
499045	Refractory Materials Repairers, Except Brickmasons	
499050	Line Installers and Repairers	
499051	Electrical Power-Line Installers and Repairers	
499052	Telecommunications Line Installers and Repairers	
499060	Precision Instrument and Equipment Repairers	
499061	Camera and Photographic Equipment Repairers	
499062	Medical Equipment Repairers	
499063	Musical Instrument Repairers and Tuners	
499064	Watch Repairers	
499069	Precision Instrument and Equipment Repairers, All Other	
499071	Maintenance and Repair Workers, General	
499081	Wind Turbine Service Technicians	
499090	Miscellaneous Installation, Maintenance, and Repair Workers	
499091	Coin, Vending, and Amusement Machine Servicers and Repairers	
499092	Commercial Divers	
499093	Fabric Menders, Except Garment	
499094	Locksmiths and Safe Repairers	
499095	Manufactured Building and Mobile Home Installers	
499096	Riggers	
499097	Signal and Track Switch Repairers	
499098	Helpers--Installation, Maintenance, and Repair Workers	
499099	Installation, Maintenance, and Repair Workers, All Other	
510000	Production Occupations	
511011	First-Line Supervisors of Production and Operating Workers	
512000	Assemblers and Fabricators	
512011	Aircraft Structure, Surfaces, Rigging, and Systems Assemblers	
512020	Electrical, Electronics, and Electromechanical Assemblers	
512021	Coil Winders, Tapers, and Finishers	
512022	Electrical and Electronic Equipment Assemblers	
512023	Electromechanical Equipment Assemblers	
512031	Engine and Other Machine Assemblers	
512041	Structural Metal Fabricators and Fitters	
512090	Miscellaneous Assemblers and Fabricators	
512091	Fiberglass Laminators and Fabricators	
512092	Team Assemblers	
512093	Timing Device Assemblers and Adjusters	
512099	Assemblers and Fabricators, All Other	
513000	Food Processing Workers	
513011	Bakers	
513020	Butchers and Other Meat, Poultry, and Fish Processing Workers	
513021	Butchers and Meat Cutters	
513022	Meat, Poultry, and Fish Cutters and Trimmers	
513023	Slaughterers and Meat Packers	
513090	Miscellaneous Food Processing Workers	
513091	Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders	
513092	Food Batchmakers	
513093	Food Cooking Machine Operators and Tenders	
513099	Food Processing Workers, All Other	
514000	Metal Workers and Plastic Workers	
514010	Computer Control Programmers and Operators	
514011	Computer-Controlled Machine Tool Operators, Metal and Plastic	
514012	Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic	
514020	Forming Machine Setters, Operators, and Tenders, Metal and Plastic	
514021	Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic	
514022	Forging Machine Setters, Operators, and Tenders, Metal and Plastic	
514023	Rolling Machine Setters, Operators, and Tenders, Metal and Plastic	
514030	Machine Tool Cutting Setters, Operators, and Tenders, Metal and Plastic	
514031	Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic	
514032	Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic	
514033	Grinding/Lapping/Polishing/Buffing Machine Tool Setters, Operators, and Tenders, Metal and Pla	
514034	Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic	
514035	Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic	
514041	Machinists	
514050	Metal Furnace Operators, Tenders, Pourers, and Casters	
514051	Metal-Refining Furnace Operators and Tenders	
514052	Pourers and Casters, Metal	
514060	Model Makers and Patternmakers, Metal and Plastic	
514061	Model Makers, Metal and Plastic	
514062	Patternmakers, Metal and Plastic	
514070	Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic	
514071	Foundry Mold and Coremakers	
514072	Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic	
514081	Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic	
514111	Tool and Die Makers	
514120	Welding, Soldering, and Brazing Workers	
514121	Welders, Cutters, Solderers, and Brazers	
514122	Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders	
514190	Miscellaneous Metal Workers and Plastic Workers	
514191	Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic	
514192	Layout Workers, Metal and Plastic	
514193	Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic	
514194	Tool Grinders, Filers, and Sharpeners	
514199	Metal Workers and Plastic Workers, All Other	
515110	Printing Workers	
515111	Prepress Technicians and Workers	
515112	Printing Press Operators	
515113	Print Binding and Finishing Workers	
516000	Textile, Apparel, and Furnishings Workers	
516011	Laundry and Dry-Cleaning Workers	
516021	Pressers, Textile, Garment, and Related Materials	
516031	Sewing Machine Operators	
516040	Shoe and Leather Workers	
516041	Shoe and Leather Workers and Repairers	
516042	Shoe Machine Operators and Tenders	
516050	Tailors, Dressmakers, and Sewers	
516051	Sewers, Hand	
516052	Tailors, Dressmakers, and Custom Sewers	
516060	Textile Machine Setters, Operators, and Tenders	
516061	Textile Bleaching and Dyeing Machine Operators and Tenders	
516062	Textile Cutting Machine Setters, Operators, and Tenders	
516063	Textile Knitting and Weaving Machine Setters, Operators, and Tenders	
516064	Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders	
516090	Miscellaneous Textile, Apparel, and Furnishings Workers	
516091	Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers	
516092	Fabric and Apparel Patternmakers	
516093	Upholsterers	
516099	Textile, Apparel, and Furnishings Workers, All Other	
517000	Woodworkers	
517011	Cabinetmakers and Bench Carpenters	
517021	Furniture Finishers	
517030	Model Makers and Patternmakers, Wood	
517031	Model Makers, Wood	
517032	Patternmakers, Wood	
517040	Woodworking Machine Setters, Operators, and Tenders	
517041	Sawing Machine Setters, Operators, and Tenders, Wood	
517042	Woodworking Machine Setters, Operators, and Tenders, Except Sawing	
517099	Woodworkers, All Other	
518000	Plant and System Operators	
518010	Power Plant Operators, Distributors, and Dispatchers	
518011	Nuclear Power Reactor Operators	
518012	Power Distributors and Dispatchers	
518013	Power Plant Operators	
518021	Stationary Engineers and Boiler Operators	
518031	Water and Wastewater Treatment Plant and System Operators	
518090	Miscellaneous Plant and System Operators	
518091	Chemical Plant and System Operators	
518092	Gas Plant Operators	
518093	Petroleum Pump System Operators, Refinery Operators, and Gaugers	
518099	Plant and System Operators, All Other	
519000	Other Production Occupations	
519010	Chemical Processing Machine Setters, Operators, and Tenders	
519011	Chemical Equipment Operators and Tenders	
519012	Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Te	
519020	Crushing, Grinding, Polishing, Mixing, and Blending Workers	
519021	Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders	
519022	Grinding and Polishing Workers, Hand	
519023	Mixing and Blending Machine Setters, Operators, and Tenders	
519030	Cutting Workers	
519031	Cutters and Trimmers, Hand	
519032	Cutting and Slicing Machine Setters, Operators, and Tenders	
519041	Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders	
519051	Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders	
519061	Inspectors, Testers, Sorters, Samplers, and Weighers	
519071	Jewelers and Precious Stone and Metal Workers	
519080	Medical, Dental, and Ophthalmic Laboratory Technicians	
519081	Dental Laboratory Technicians	
519082	Medical Appliance Technicians	
519083	Ophthalmic Laboratory Technicians	
519111	Packaging and Filling Machine Operators and Tenders	
519120	Painting Workers	
519121	Coating, Painting, and Spraying Machine Setters, Operators, and Tenders	
519122	Painters, Transportation Equipment	
519123	Painting, Coating, and Decorating Workers	
519141	Semiconductor Processors	
519151	Photographic Process Workers and Processing Machine Operators	
519190	Miscellaneous Production Workers	
519191	Adhesive Bonding Machine Operators and Tenders	
519192	Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders	
519193	Cooling and Freezing Equipment Operators and Tenders	
519194	Etchers and Engravers	
519195	Molders, Shapers, and Casters, Except Metal and Plastic	
519196	Paper Goods Machine Setters, Operators, and Tenders	
519197	Tire Builders	
519198	Helpers--Production Workers	
519199	Production Workers, All Other	
530000	Transportation and Material Moving Occupations	
531000	Supervisors of Transportation and Material Moving Workers	
531011	Aircraft Cargo Handling Supervisors	
531021	First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand	
531031	First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators	
532000	Air Transportation Workers	
532010	Aircraft Pilots and Flight Engineers	
532011	Airline Pilots, Copilots, and Flight Engineers	
532012	Commercial Pilots	
532020	Air Traffic Controllers and Airfield Operations Specialists	
532021	Air Traffic Controllers	
532022	Airfield Operations Specialists	
532031	Flight Attendants	
533000	Motor Vehicle Operators	
533011	Ambulance Drivers and Attendants, Except Emergency Medical Technicians	
533020	Bus Drivers	
533021	Bus Drivers, Transit and Intercity	
533022	Bus Drivers, School or Special Client	
533030	Driver/Sales Workers and Truck Drivers	
533031	Driver/Sales Workers	
533032	Heavy and Tractor-Trailer Truck Drivers	
533033	Light Truck or Delivery Services Drivers	
533041	Taxi Drivers and Chauffeurs	
533099	Motor Vehicle Operators, All Other	
534000	Rail Transportation Workers	
534010	Locomotive Engineers and Operators	
534011	Locomotive Engineers	
534012	Locomotive Firers	
534013	Rail Yard Engineers, Dinkey Operators, and Hostlers	
534021	Railroad Brake, Signal, and Switch Operators	
534031	Railroad Conductors and Yardmasters	
534041	Subway and Streetcar Operators	
534099	Rail Transportation Workers, All Other	
535000	Water Transportation Workers	
535011	Sailors and Marine Oilers	
535020	Ship and Boat Captains and Operators	
535021	Captains, Mates, and Pilots of Water Vessels	
535022	Motorboat Operators	
535031	Ship Engineers	
536000	Other Transportation Workers	
536011	Bridge and Lock Tenders	
536021	Parking Lot Attendants	
536031	Automotive and Watercraft Service Attendants	
536041	Traffic Technicians	
536051	Transportation Inspectors	
536061	Transportation Attendants, Except Flight Attendants	
536099	Transportation Workers, All Other	
537000	Material Moving Workers	
537011	Conveyor Operators and Tenders	
537021	Crane and Tower Operators	
537030	Dredge, Excavating, and Loading Machine Operators	
537031	Dredge Operators	
537032	Excavating and Loading Machine and Dragline Operators	
537033	Loading Machine Operators, Underground Mining	
537041	Hoist and Winch Operators	
537051	Industrial Truck and Tractor Operators	
537060	Laborers and Material Movers, Hand	
537061	Cleaners of Vehicles and Equipment	
537062	Laborers and Freight, Stock, and Material Movers, Hand	
537063	Machine Feeders and Offbearers	
537064	Packers and Packagers, Hand	
537070	Pumping Station Operators	
537071	Gas Compressor and Gas Pumping Station Operators	
537072	Pump Operators, Except Wellhead Pumpers	
537073	Wellhead Pumpers	
537081	Refuse and Recyclable Material Collectors	
537111	Mine Shuttle Car Operators	
537121	Tank Car, Truck, and Ship Loaders	
537199	Material Moving Workers, All Other	
